route,has_index,has_form,has_view,has_list
accounting,yes,no,no,yes
api,no,no,no,no
approval,yes,no,yes,yes
approval-matrix,yes,yes,no,yes
choose-property,yes,no,no,yes
client,yes,yes,yes,yes
concierge,yes,no,no,yes
content,yes,no,no,yes
dashboard,yes,no,no,yes
dynamic-rate,yes,no,no,yes
end-of-day,yes,no,no,yes
endshift,yes,no,no,yes
event,yes,yes,no,yes
front-desk,no,no,no,no
gallery,yes,no,no,yes
guest,no,no,no,no
guest-request,yes,no,no,yes
hotel-competitor,yes,no,no,yes
house-keeping,yes,no,no,yes
log,yes,no,yes,yes
master-capacity,yes,yes,no,yes
master-inventory,yes,yes,no,yes
master-layout,yes,yes,no,yes
master-setup,yes,no,no,yes
master-venue,yes,yes,yes,yes
module,yes,no,no,yes
navigation-menu,yes,yes,no,yes
night-audit,yes,no,no,yes
page-builder,no,no,no,no
permission,yes,yes,no,yes
pos-transactions,yes,no,no,yes
post,yes,no,no,yes
postcode-budget,yes,no,no,yes
profile,yes,no,no,yes
property,yes,yes,yes,yes
rate-management,yes,no,no,yes
reporting,yes,no,no,yes
reservation,yes,no,no,yes
role,yes,yes,yes,yes
room-statistic,yes,no,no,yes
settings,yes,no,no,yes
staah,no,no,no,no
system-balance,yes,no,no,yes
user,yes,yes,yes,yes
utility,yes,no,no,yes
